nom produit,numero AMM,Substances actives,identifiant usage,etat usage,dose retenue,dose retenue unite,delai avant recolte jour,catégorie de condition d’emploi,condition d’emploi libelle
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.0,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.0,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.5,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.5,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.5,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.5,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Délai de rentrée,Condition: - 48 heures
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité .  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) .  • pendant l'application  Si application avec tracteur avec cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN ISO 374-2 (types A, B ou C) à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés NF EN ISO 374-1/A1 et NF EN 16523-1+A1 (type A) .  - EPI vestimentaire conforme à la norme NF EN ISO 27065/A1 .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus l'EPI vestimentaire précité."
